x,y,z
-1.1174324799413173,-1.3575228884513608,0.08574364003462685
-1.1597128854325889,-1.379162650850059,0.17327569016914574
-1.1998888801691168,-1.392608394174954,0.26557199184006697
-1.237222832212301,-1.3969341950100418,0.36128738110141856
-1.2709488275789018,-1.3914070148709154,0.4588337726853523
-1.3003028778744123,-1.3755474544427346,0.5564271706358886
-1.3245568146894238,-1.349182762783491,0.6521487125812989
-1.3430517227065664,-1.3124873075364831,0.7440225512266
-1.355231223752749,-1.266001535786733,0.8301053177784768
-1.360671518870473,-1.2106203942633929,0.9085778421437315
-1.3591061725376938,-1.147550055022156,0.9778303358714354
-1.3504433110402052,-1.078239111595732,1.0365333065535198
-1.334773186930237,-1.0042963747236446,1.0836891680630651
-1.3123648433738138,-0.9274081973480208,1.1186623672184648
-1.2836522791955958,-0.8492642026885533,1.1411880539619137
-1.2492122309051266,-0.7714941269119145,1.1513606949056283
-1.2097366185139071,-0.6956140210251508,1.1496047456671943
-1.166002549896807,-0.6229793034429234,1.1366300026029537
-1.1188419677683519,-0.55474447161316,1.1133749190936626
-1.069112226257725,-0.4918322246601198,1.0809421195667661
-1.0176684876590096,-0.4349160116759382,1.0405313360389523
-0.965338783871098,-0.3844188187255876,0.9933754770478229
-0.9129026145432673,-0.34052818390708994,0.9406849969302755
-0.8610738294845017,-0.30322452693794644,0.883604103031876
-0.8104882231370376,-0.272318086335385,0.823180143778448
-0.7616958593307965,-0.24748942888096928,0.7603455431455779
-0.7151577925270038,-0.22832931578872792,0.695910424995793
-0.6712466444499469,-0.21437508452828044,0.630563647891161
-0.6302504170350343,-0.20514206285184092,0.5648800394034246
-0.5923788967119633,-0.20014948913687583,0.49933184157644384
-0.55777197386308,-0.1989408717966866,0.43430259820684897
-0.526509171428662,-0.20109885148383297,0.3701019413774565
-0.4986196914978092,-0.20625471508684481,0.30698002550735487
-0.474092373584168,-0.21409293661948733,0.24514072023177935
-0.4528850964920208,-0.2243514787219933,0.18475306053625082
-0.4349333077906768,-0.23681893202946983,0.12596079958783815
-0.4201574992169946,-0.2513297403832768,0.0688901722061402
-0.4084695517849433,-0.26775868662866564,0.01365614014244058
-0.39977795419461915,-0.28601553195949037,-0.039632538382541486
-0.39399195804975695,-0.30604031533670084,-0.09086907422637658
-0.3910247756161657,-0.3277994447884783,-0.13994495853709082
-0.3907959495760883,-0.35128243451335467,-0.18674660634105952
-0.39323302881824757,-0.37649899559617916,-0.2311521983139909
-0.3982726716285568,-0.40347616272107834,-0.27302865288262157
-0.40586127242976605,-0.4322551951611684,-0.3122287071294658
-0.4159551767779489,-0.4628880804494211,-0.3485881121423407
-0.4285205177877683,-0.49543355428987407,-0.38192296280181204
-0.4435326799886977,-0.5299526067994222,-0.4120271918508305
