x,y,z
-1.1174623353192956,-1.3574117859972556,0.08597434664868697
-1.159859378149544,-1.3790885940942288,0.17376707407839326
-1.2002439307384567,-1.3927507880106094,0.2662723519913959
-1.2377896989011314,-1.3973294067240225,0.36215311611688616
-1.271640001779566,-1.3918886715358818,0.45985900765492504
-1.3009464568458475,-1.3759071700996646,0.5576241269547686
-1.3250020667443,-1.349429240104743,0.6534595661685045
-1.3433015605651373,-1.3129244043980441,0.7452725883194837
-1.3554495527444128,-1.2668845877828163,0.8311377394297876
-1.3610013770806009,-1.2117461422650673,0.9094101915538723
-1.3594834144491246,-1.1484192853885218,0.9786900837617508
-1.3507919200847551,-1.0786621728430206,1.0375828550148902
-1.3352026784438107,-1.0044957058560686,1.084770133232296
-1.313004738080724,-0.9273764735498289,1.1195723524977472
-1.2844421585905663,-0.8484138146301772,1.1419843622255246
-1.2499900612487553,-0.7693057269127382,1.152296935249486
-1.2102829652470237,-0.6923726935772485,1.1509585125994042
-1.1661132648825456,-0.6194061629613334,1.1384466926240786
-1.1185034269707959,-0.5512878947741346,1.1152080262111037
-1.0684576723986703,-0.488601689708672,1.0821287671737265
-1.0168236070754135,-0.4319752051976149,1.0408091064610538
-0.9643576834091301,-0.38178258138592447,0.9929937761861864
-0.9117452461454605,-0.33811657906793974,0.9400330847509963
-0.859580736651979,-0.30110344548759466,0.8829643359393669
-0.808533738308555,-0.27061858589039595,0.8226883435327416
-0.7593509950864417,-0.2460791156702013,0.7600428846986692
-0.7125697882342527,-0.22698352408322434,0.6958013343033412
-0.6685400512732951,-0.21317559456821594,0.6305688925032678
-0.6276382554922904,-0.20432857115103614,0.5648477614693581
-0.5901164663472885,-0.19975003910641803,0.4991697649610697
-0.5558763576444778,-0.198839104716591,0.4340004710438129
-0.5247958426453706,-0.20117677697822012,0.3697260591835336
-0.49699160924010377,-0.20648836809075133,0.3066712107286519
-0.47257876821491723,-0.21465925927749496,0.2449707180414793
-0.4514967902049209,-0.2253226333692665,0.1846803830393787
-0.4336152856555149,-0.23783973965810196,0.12592278399259588
-0.4188672395512526,-0.25201962537378014,0.06880032951241427
-0.4072173243725403,-0.26827427051547076,0.0134604739544531
-0.39865457026619056,-0.28677330539629137,-0.03991145824626996
-0.3931466339126657,-0.30714458882815004,-0.09125758167831549
-0.3904563201849054,-0.32910132643859985,-0.14052348574370727
-0.39030352830152787,-0.3526947883057555,-0.1875194567947524
-0.39270086604817456,-0.3779942450733125,-0.2320624919081471
-0.3978060477778078,-0.40500038100093083,-0.2740340983086724
-0.40558546186430994,-0.4337518569130573,-0.3132793799699456
-0.4158574023599611,-0.46429728549355076,-0.3495796811885096
-0.4285103761164381,-0.49667196395790913,-0.38269505924619823
-0.44356257819005546,-0.5309805455072958,-0.41241526560948694
-0.46109047502252803,-0.5673953134751342,-0.4385814066861089
-0.48114489569925534,-0.6060307905412745,-0.4610423038233241
-0.5036790959912246,-0.6468650052753933,-0.47957773661576003
-0.5285883675232538,-0.6898144510118794,-0.49386468896065533
-0.5558106775856394,-0.7348303912523549,-0.5035351589215551
-0.5853540940441185,-0.7819078677198141,-0.5082360426015302
-0.617239797688357,-0.8310202989533791,-0.5075792271684922
-0.6514573520506634,-0.882034446650925,-0.5010919982212547
-0.687966549551954,-0.9346831082275571,-0.48826357504351586
-0.7267054574816484,-0.9885898378702075,-0.4686101635166083
-0.7675886711956057,-1.04330136850085,-0.44169640120148784
-0.8105045862921678,-1.098277845918505,-0.40713629753626507
-0.855301229049308,-1.1528575299842883,-0.3645925019642509
-0.9017561019762328,-1.206240842362241,-0.3137862966633297
-0.9495531769645316,-1.2574945835689617,-0.2545169646667389
-0.9982672968432021,-1.3055623037877282,-0.18668524937307457
-1.0473594229361078,-1.3492851604211424,-0.11034827288713439
-1.0962138822196257,-1.3874597202477268,-0.02581419687821207
-1.1441892702636822,-1.418885830813235,0.06626335161344687
-1.1906193518091905,-1.4423326914423944,0.164856468282577
-1.2347498911598573,-1.456472064295971,0.2686532148947872
-1.2756927001357252,-1.4599543260687027,0.3761776364571871
-1.3124866780690538,-1.4516989122446264,0.4857347511873541
-1.3442047296772999,-1.4312276489027798,0.5952089491819765
-1.369970411260391,-1.3987562091542824,0.70209788764908
-1.3890390491282072,-1.3548917241251814,0.8039042046276605
-1.4009402589078332,-1.300219509721221,0.8984303044995066
-1.405234402733194,-1.2353225822884841,0.9837770020133727
-1.401401622599413,-1.161398654524492,1.0582761145866209
-1.3893659462461858,-1.0807142619312868,1.1202468522763025
-1.3696214751270175,-0.9957647132956141,1.168291263198554
-1.3425762154908798,-0.9081444050543093,1.2019856356261305
-1.3084822451965614,-0.8190249876477378,1.221558046316502
-1.2679263997687678,-0.730474381967185,1.2274091513916696
-1.2216884861425492,-0.6452042618911936,1.2202453944297191
-1.1708062931220558,-0.5651132421115956,1.2008461082971151
-1.1165541488391661,-0.49120667673317353,1.1699073236513253
-1.0600034771401319,-0.42420835223862774,1.1287244734063815
-1.0020683505677306,-0.3646592227392728,1.0792863516960733
-0.9437208163405901,-0.31261298286154415,1.0234307937134548
-0.8857403902267349,-0.2679412704570365,0.9625671892120367
-0.8286220765514841,-0.23074480938156777,0.8979360814433716
-0.7730662986350078,-0.20079918803229468,0.8305720357603458
-0.7199428756015746,-0.1773674593182732,0.7612994896385007
-0.669772086505006,-0.15992638561431294,0.6908026249725683
-0.6228033565931778,-0.14814993717719543,0.6196178888014523
-0.57934613986923,-0.14126678080246344,0.5483851116643255
-0.5395732855773187,-0.13830864457859443,0.47779814452569924
-0.5033781097238696,-0.13873462106311946,0.40822347655960123
-0.4708308856518909,-0.14221178886962177,0.3398907485600894
-0.4420749703938076,-0.1485605259072164,0.2730334849830838
-0.4169145344390138,-0.157635415913923,0.20775161661790034
-0.39508042584228314,-0.16882761732856494,0.14416136228042503
-0.3765060851921733,-0.18164903916521136,0.08231657653458818
-0.36121378633468726,-0.19642649299587944,0.022115197642800843
-0.34912809743393974,-0.21353605354986782,-0.03632909522709843
-0.34023488776120514,-0.23252699625447187,-0.09278390175903178
-0.3344410503346429,-0.25282859906504324,-0.1471655068426913
-0.331357045842421,-0.27451540670662977,-0.19935836891536957
-0.33079783318193257,-0.2978642843750549,-0.24921729353904892
-0.3329698580447028,-0.3228972573272239,-0.2967342162363531
-0.33795239743033434,-0.34960315088889976,-0.3419009951208335
-0.34551385262149725,-0.37806307766081115,-0.38457751195746
-0.35542198384917534,-0.40831492056098184,-0.42449557729171633
-0.3676696119160677,-0.44045064953498547,-0.46134295825472826
-0.38239256763541507,-0.47472058610912105,-0.4949063082217125
-0.39971057090014706,-0.5113578787508113,-0.525068092087699
-0.41963551042332536,-0.5504223543544907,-0.5516985087434407
-0.4420665414993336,-0.5918649628762713,-0.5745802324488114
-0.4669128318725901,-0.6356643879154491,-0.5933838127632325
-0.49416594140364856,-0.6818590384117452,-0.6077411211265832
-0.5238885160675982,-0.7305168114512338,-0.6172825838022139
-0.5561499687077598,-0.7816519406795166,-0.6215416142442131
-0.5909849994522824,-0.8351734965728084,-0.6199574556769386
-0.6283925770410751,-0.8909025815455108,-0.6119822666274011
-0.6683402486150098,-0.9485915324486062,-0.5971093366500223
-0.7107654272923369,-1.0079213281786743,-0.5748398678213328
-0.7555864281545646,-1.0684532947758343,-0.5446705294118827
-0.8027024889489883,-1.1296110511800486,-0.5061003121070276
-0.851974702157365,-1.1906935269396373,-0.45866409033724903
-0.9032026849526635,-1.250852593372498,-0.4019575982175152
-0.9560793999218781,-1.3090328687459987,-0.33565715039806215
-1.0101437009988075,-1.363929178730392,-0.2595767837461505
-1.0647846961636795,-1.4140546766235786,-0.17372582456126962
-1.1192868867003969,-1.4578810563195095,-0.07836177538652361
-1.1728926915317832,-1.4939608141953138,0.025895362773814212
-1.2248054480250952,-1.5208785004387582,0.13794120146141856
-1.2741240831476142,-1.5370691626915522,0.25622557558874237
-1.3198053097273958,-1.5408273462819855,0.3789988548820892
-1.3608072538688105,-1.5306961980638267,0.5043517669502979
-1.3962271808963966,-1.5059935835556906,0.6297758384273724
-1.425022467231097,-1.466932012099218,0.7520352409985919
-1.445953186093362,-1.4141688556386445,0.867956965939571
-1.4582840136317337,-1.348647898139254,0.9749178712314472
-1.4617226053635979,-1.2716342775318252,1.07052868536828
-1.4557678550249036,-1.184670738932654,1.1526829052735938
-1.4401934685784072,-1.0901992112420804,1.219588935039725
-1.4156322353641335,-0.9911451723876223,1.2700439037678453
-1.3827477338360004,-0.8897321434437044,1.3037653397299804
-1.341939364140474,-0.7877560783209823,1.320871794778238
-1.2940354415087079,-0.6876457084529541,1.3218284535511104
-1.2400552929734796,-0.591998745504005,1.3078138871315668
-1.1812469595073027,-0.5026700347155536,1.280129099530596
-1.1189851414332912,-0.4211174233339518,1.239971063477531
-1.0543042161032923,-0.3482147711629141,1.189226323073032
-0.9882979834856102,-0.28435234671997067,1.1301273670696885
-0.9223721868020305,-0.22951640421288788,1.06450523057388
-0.8574886303750637,-0.18344239390890002,0.9940816865600672
-0.7941252656168287,-0.1459538850514283,0.9204526010938492
-0.7330454292820701,-0.11651393804352161,0.8447269014213411
-0.6751023261969938,-0.09417937040437807,0.7677451901009764
-0.6206660278812827,-0.07830249196435018,0.690154533061984
-0.569782296192769,-0.06808803742966485,0.6124606753407197
-0.5227021631992851,-0.062465791221380296,0.5354879305171012
-0.4796412165419942,-0.06068508474064338,0.4598435124872204
-0.44061144407887864,-0.06228482327565066,0.3855238968067256
-0.4058745947329151,-0.06669605978558718,0.31263633473861313
-0.3753836111621325,-0.07364926311890646,0.24137055801942853
-0.3485757755992139,-0.08298726249997612,0.17188239112878445
-0.3251484846099059,-0.09421090305920243,0.1043597899168553
-0.3051973529048434,-0.10721203717134553,0.038606173038486624
-0.288704227800865,-0.1222257144653841,-0.0255483679245313
-0.275392063217376,-0.1388946864544166,-0.08774668276571784
-0.26532783275853844,-0.15650875143822424,-0.14778126819224913
-0.2583478588302955,-0.17510251599944865,-0.20573480592386856
-0.25395487712282694,-0.1952931664549678,-0.2615200422281242
-0.25214738874339404,-0.21726240718259998,-0.31513267918352617
-0.2531443287609198,-0.24070540583892114,-0.3667157210822704
-0.2568071578392476,-0.26557142798621863,-0.416289308629112
-0.2627864066751539,-0.29200504612089406,-0.46372451023991945
-0.27092987905933774,-0.3200864731600235,-0.5086731561773705
-0.2813923241467684,-0.35007829988550165,-0.5507961653717615
-0.2943576809704697,-0.38237422387468667,-0.589999617950276
-0.3099005402113453,-0.41712939099495544,-0.6262437965511649
-0.3279593672254853,-0.45427459591997865,-0.6594076091190586
-0.34842153153951017,-0.4937936773408709,-0.6892864243631207
-0.371236799590777,-0.5357717063254565,-0.7155440512694233
-0.3964478017884654,-0.5803383766432142,-0.7378346736802612
-0.42420295747639236,-0.6276572290684278,-0.7558298078566565
-0.4546481798657996,-0.6778598241087201,-0.7690565799291227
-0.48785009080852326,-0.7310429110071944,-0.7769763438011319
-0.5238555637866177,-0.7872761828305886,-0.7791102874236
-0.5627138077223228,-0.8465517095955832,-0.7749572379615152
-0.6044403470102057,-0.9087497043565481,-0.7639490920826423
-0.6490280146983569,-0.9735891798644655,-0.7454641469544042
-0.696461554515452,-1.0406624210945299,-0.7188322761221742
-0.7466893947986011,-1.109453237925726,-0.683361257391449
-0.7996215898231306,-1.179301667240912,-0.6383300225865407
-0.8551283506918278,-1.2493916688128006,-0.5830021745865812
-0.9130224653985711,-1.3187390972274957,-0.5167474150706868
-0.972989477754219,-1.3861364458546404,-0.4391062738948951
-1.034482531905125,-1.4500349396896288,-0.3497999230884997
-1.0967417905168453,-1.5085738624833995,-0.24878461097055005
-1.1589053582061435,-1.5597278886270867,-0.1363082620845741
-1.220109367746875,-1.601470934220125,-0.01299927533851708
-1.2794397215316557,-1.6318665879971013,0.11994388604183404
-1.335746699139966,-1.6489439946246034,0.2605700528393272
-1.3875856296243536,-1.6506438394211989,0.4063920621425319
-1.4336163352915068,-1.6352076191186427,0.554813021733997
-1.472897960505739,-1.6018135543422292,0.7026516515229866
-1.5041646580804569,-1.550575780004774,0.8456376664539016
-1.5256754154503724,-1.481880491380224,0.9797882986242437
-1.5365945470836284,-1.3973987465172097,1.101909978511111
-1.5368924867123028,-1.3001815491460984,1.2088000244983537
-1.526015956043366,-1.1926247116189108,1.2979143869464753
-1.5035587648927184,-1.0774329519360668,1.3675960308670925
-1.4703437958556236,-0.9578038817119467,1.4171524317259871
-1.4273960360555433,-0.8369156521000629,1.4463371762066326
-1.3755788959463735,-0.7178639526557785,1.4551162281369827
-1.316093329917214,-0.6032923434544126,1.4447837802469166
-1.2502658752743532,-0.49532297519573376,1.4174263124191342
-1.1796892889796395,-0.39641939501543466,1.3746721736252252
-1.105784531189784,-0.3082943466808977,1.3188331511248288
-1.0296529844536346,-0.2310621629689536,1.2529552266438984
-0.9528785940263496,-0.16501743723708745,1.1792704144084736
-0.8771449188104314,-0.11023414128507422,1.099853146612431
-0.8034280581314885,-0.06585588469524123,1.0170286588613713
-0.7324504489598478,-0.030848331407447416,0.9320998422108565
-0.6649470258871892,-0.004077600658804026,0.8459804405194042
-0.6014939264123508,0.015315152281451166,0.7598792885339103
-0.5422465310578759,0.028092577614959396,0.6743874901513487
-0.4872091774801386,0.035880615972659236,0.5899444231541446
-0.4368020187209348,0.03928807457347133,0.5073043454813364
-0.3911364122750236,0.038563282483736416,0.42646303619802506
-0.35001752052086055,0.03466508334475965,0.3473822107785612
-0.3135533340664054,0.028415656353906804,0.27011692090470846
-0.28144812344700815,0.02004967745632491,0.19449125030340125
-0.2533180157204233,0.010037745820290656,0.12094955288416936
-0.22884849518631706,-0.0012675189741068738,0.04963185541712278
-0.20813744105407322,-0.013933982674517287,-0.019769221140364113
-0.19079332686819578,-0.027856073255751346,-0.08720937935646883
-0.17651287054335496,-0.04257781743187483,-0.15264084968380087
-0.16552330338827964,-0.0579804660276641,-0.21619697362885867
-0.15725347154261715,-0.07443145756412295,-0.277756136109614
-0.15134002760487958,-0.09236022503296631,-0.3372067283843424
-0.1480587367432299,-0.11145832166223474,-0.3948121503636644
-0.147423330424527,-0.13121904984944416,-0.4505171005351164
-0.1490874685452373,-0.1519821074779753,-0.5043513754149709
-0.1527277672120232,-0.17403074171607102,-0.5562641470568606
-0.1583984008006885,-0.1973377357401842,-0.6059237202378356
-0.1662012497355096,-0.22226915850973394,-0.6532224204170399
-0.17611392695181016,-0.24911672967182164,-0.6982438823875127
-0.1881673407612608,-0.2779058061644978,-0.7409753875526375
-0.2023055143679533,-0.30867042521123145,-0.7813327381725561
-0.21845519683599418,-0.34153627544338117,-0.8191666381966201
-0.2366256575765065,-0.376673903288042,-0.854210541416091
-0.25695055968744995,-0.4143189624937608,-0.8862870986876015
-0.27965447834198387,-0.45478276268471923,-0.9152001065100902
-0.30484671301618804,-0.49831161533829704,-0.9405252369462341
-0.3325887977559753,-0.5451782029864076,-0.9618967866480064
-0.36301922758125177,-0.5956322762990254,-0.9790055198273688
-0.396241203723377,-0.6497919573605695,-0.9913544599048989
-0.43228147194295563,-0.707732447010277,-0.9983959874584489
-0.4712538229954141,-0.7694859171038141,-0.9996171600297694
-0.5133633270192597,-0.8350754424046374,-0.9944380267969704
-0.558762766537425,-0.9044565897535795,-0.9822161877641039
-0.6075456753275721,-0.9774383687732802,-0.962159940185563
-0.6597469845594778,-1.053722095150408,-0.9333043454257237
-0.7153745365454873,-1.1329087573869663,-0.894662697411464
-0.7744050770292427,-1.214382311756884,-0.8452080909235329
-0.8367185586355327,-1.297185400688298,-0.7838636914018733
-0.9021115512141433,-1.3800896949976929,-0.7096149535618195
-0.9702740643410408,-1.4616005995101138,-0.6215759956453311
-1.0407161752322647,-1.5399047815369773,-0.5190728817789767
-1.1126957165776343,-1.612889088117611,-0.40176749061367917
-1.1852382495190514,-1.6781079461348172,-0.2697528021474432
-1.2572876270272615,-1.7328228180030445,-0.12368636573955288
-1.327745942344929,-1.7741053782989433,0.03509212339202547
-1.395274704998823,-1.798940405958672,0.2045791877796111
-1.45809966143993,-1.8044752415747445,0.38190001278865787
