x,y,z
-1.1174798854370416,-1.3580218287178356,0.0853058397866151
-1.15969931157195,-1.379845154256378,0.17245349031254564
-1.2002938303713149,-1.3932075603105993,0.26503456931169245
-1.238021669205514,-1.3969194945921903,0.36171359151226024
-1.2715157625510067,-1.3903754295291284,0.4604148120642194
-1.3005760691973673,-1.3739889204410836,0.5587006675562602
-1.3249612217885445,-1.3480563029095163,0.6542597822701781
-1.3437975839254868,-1.312432159059202,0.7455170642195308
-1.3559956616314608,-1.2667228195232612,0.8313560536312976
-1.3609571343858002,-1.210821778176617,0.9103252622364222
-1.358965036827389,-1.1466067155677904,0.9802889853231687
-1.3506493066619798,-1.077256072669401,1.038955483085402
-1.3358953122737693,-1.004394169264526,1.0851417406334993
-1.314224384918349,-0.9280432424029256,1.1190243390729835
-1.2856915263606337,-0.8496097268227417,1.1414229088663896
-1.2509956869603522,-0.7718272945544354,1.1526652100388342
-1.21083422239288,-0.6956062012826911,1.1521558279778663
-1.1662226742025756,-0.6214184806445514,1.1396717575780115
-1.1187208441907608,-0.5520795109928552,1.1165218171918618
-1.0691768020864059,-0.48967930260327597,1.0840812262240695
-1.017642580717446,-0.43329945389729574,1.0430686144633117
-0.9648520606403171,-0.38256655453919225,0.9947641166195118
-0.9120368669344315,-0.3385891293122217,0.941335264633657
-0.859513697353893,-0.3013009857112732,0.8845854933855922
-0.808046492913931,-0.26995161658685934,0.8251304517196316
-0.7594310249283032,-0.24492823144638615,0.7627863793594225
-0.7139840080449732,-0.22649590139327533,0.6977657746137227
-0.6704440047664655,-0.21342530761988568,0.6320007660652508
-0.6291671457450301,-0.20442201646187808,0.5669932045611629
-0.5913244096283845,-0.199446924621978,0.5019628715594224
-0.5567696379595956,-0.19817579137291985,0.43655078397248315
-0.5252197390016603,-0.20004135894286407,0.3718887433307184
-0.49730244189755424,-0.20493917241821433,0.3089927517979181
-0.47281712081429783,-0.21221873640957897,0.2476104220187697
-0.4510627679947616,-0.2218302160223597,0.18742022294515404
-0.4328601564868142,-0.2342372133481762,0.12855370900331364
-0.4184861015158631,-0.24913636232477454,0.07102547930662595
-0.407028766817917,-0.26598512954120995,0.015104671443621598
-0.3982720809125145,-0.2844843937910196,-0.03884783428822636
-0.3924052166762257,-0.3045675951784733,-0.09040152295130932
-0.38965965458291457,-0.3266701122745211,-0.139665781298823
-0.39018325676711035,-0.35093140289841057,-0.18705502985889544
-0.3931452812780476,-0.3764925058376487,-0.2320159332261167
-0.3977940151132425,-0.4030579500646098,-0.2738613027553044
-0.40483758570290396,-0.4313100407158573,-0.312719574701927
-0.414816200815942,-0.4614561873964419,-0.3488880094443535
-0.4272061696052897,-0.49349967037302134,-0.38224412541375885
-0.441899058828939,-0.5279633095854712,-0.41248530546030177
-0.45920685421932494,-0.5650307506616089,-0.43954434057223307
-0.47897903290806293,-0.604207449782529,-0.4631185991643557
-0.5012216540878847,-0.6451528208005328,-0.4824773915084171
-0.5261400242066513,-0.6880770263591828,-0.49704396209599144
-0.5536259887509967,-0.733119395189301,-0.506809376247446
-0.5832968509839672,-0.7798113956315942,-0.5115021165375737
-0.6149090203967797,-0.8280006839512681,-0.5103486495370028
-0.6486714612473459,-0.8781805351257312,-0.5030654971688462
-0.6849173846438079,-0.9307758964914725,-0.4899186184754107
-0.7237705543071505,-0.9857078872228904,-0.4709921355288771
-0.7651174244808249,-1.0416439150387682,-0.44543503841365467
-0.808434004345278,-1.0969018156012562,-0.4119969383023354
-0.8534024795574169,-1.1510132926964505,-0.3703142471800525
-0.9000919499524918,-1.2039187182313582,-0.32013312754523576
-0.9482963233390396,-1.2552401347531876,-0.26067810018000026
-0.9976539353080895,-1.3042852737009805,-0.19199097214509853
-1.047465805154603,-1.349412309978005,-0.1148914866669597
-1.0964785947412092,-1.38858999739301,-0.030170872452631614
-1.1441449089698223,-1.420615092208033,0.06137303839910424
-1.1907861333145573,-1.4448525847307359,0.15938844750421421
-1.2358066722700485,-1.4601394893540263,0.2633765569323685
-1.277294957622689,-1.4643469727893224,0.37218082880942616
-1.3142747632172869,-1.456338148087124,0.4836852702825144
-1.3467876097274356,-1.4362072909840498,0.5944069853142646
-1.3738312158778905,-1.4043987898643289,0.7013549364564393
-1.3939015620546953,-1.3617334298817394,0.8030243471291929
-1.405880744384826,-1.307786135574575,0.8986149432939654
-1.4095523491082043,-1.24198006111453,0.9863246099330204
-1.405468055787536,-1.1665771183991844,1.062759788835149
-1.3939077252890333,-1.0854507826351711,1.1248279182236298
-1.3746290207438516,-1.0002673287717259,1.1722434340333616
-1.347360942040119,-0.910720970573304,1.2062962458952515
-1.3126059811251074,-0.8196979903328758,1.2272488163487507
-1.2713866123825028,-0.7314457403164959,1.2342162402851669
-1.2245213255097624,-0.6458495234863546,1.226508962247615
-1.173287221415496,-0.5634729710560967,1.2053727063260424
-1.1188809193834564,-0.48823446951358906,1.1733577172782537
-1.0619786107278668,-0.42153027785445507,1.1319832691386154
-1.0030984954825386,-0.3620456408613205,1.0819141189187542
-0.9440123373027554,-0.30986631395201053,1.024922296677603
-0.8856770660894306,-0.26552366722299575,0.9637362927698977
