x,y,z
-1.1175302855689806,-1.3577222126030828,0.08560966726071181
-1.1601838232718524,-1.3799193474157703,0.17309931438563292
-1.2006094970048216,-1.3943014842575074,0.2655115999981209
-1.237917791335754,-1.3995066369853908,0.36155314199840466
-1.2717691964059612,-1.3942039662537795,0.45987091232179983
-1.3014641560501843,-1.3776482145095585,0.558829885316212
-1.3259840590099992,-1.3499553051993984,0.6559302122208254
-1.3448145730639465,-1.3123211706156808,0.7481589386009928
-1.3575688530226033,-1.266367330502125,0.8333921421521531
-1.3635615620198283,-1.2127916314681586,0.910940437873851
-1.3621611465228332,-1.1515691115684779,0.9803463159105509
-1.3532932737919985,-1.0832788522855896,1.0401448187449949
-1.3374061048788473,-1.0096795061115027,1.08835400754356
-1.31491824031077,-0.9327564971816091,1.123539946368562
-1.2862364016930175,-0.8539456367381195,1.1455370485526248
-1.2519199084093988,-0.7747355261809211,1.155500224044313
-1.212634193359408,-0.6969620068359218,1.1542146105380802
-1.1689509432922964,-0.622482875133398,1.1415063895735487
-1.1215828022698413,-0.5529715216710555,1.1177056743775333
-1.0715803221357607,-0.4895903352607734,1.0842463958759079
-1.0198466911615975,-0.4327347167816909,1.0429424550625677
-0.9669469513289746,-0.38221524097217935,0.9954426881635374
-0.9135763633381151,-0.33788220814555336,0.9430831951448385
-0.8608620333227075,-0.3000686541609413,0.8867406301407722
-0.8099745109547756,-0.2691971814719799,0.8268771487539494
-0.7614972892654147,-0.2450131956433454,0.7639416180977918
-0.7153476390259295,-0.22652826644224544,0.6988429934886062
-0.6713288942624778,-0.21276592439168182,0.6329454931925963
-0.6297135613818979,-0.20332939923632684,0.5673804298792366
-0.5912343768180585,-0.19815723964580728,0.5023432375531341
-0.556457123843231,-0.19700146070108648,0.43737991413555094
-0.525341557473903,-0.1994772206438357,0.3725386407842384
-0.4975332006336496,-0.20535408856376117,0.30882437319952555
-0.4729190905980694,-0.21430018542229828,0.2471793489032198
-0.4518137862587708,-0.22561562313912628,0.18751893870306452
-0.4345122425057476,-0.238690901374713,0.12930865494581714
-0.4207431764273185,-0.2533748186089539,0.07275159479458712
-0.40995615434999244,-0.26940957413560207,0.018508538210142422
-0.40196927529182375,-0.2864359607533594,-0.03372381376342823
-0.39690613056265456,-0.3053957071544324,-0.08490776934170326
-0.3948009091929292,-0.32799429423678544,-0.13499097418749845
-0.39536516339305927,-0.3541162675229489,-0.18291467100944547
-0.39810137023663583,-0.38192002719891244,-0.22799892547314327
-0.40274580479904765,-0.4103777279777489,-0.2705108430965683
-0.409367885748945,-0.4400721647001902,-0.3107355033350212
-0.41821984608377993,-0.47171162178107784,-0.34809468240856123
-0.42981214434336723,-0.5051324335313702,-0.3817863149089818
-0.44461920527767834,-0.5398443792323279,-0.41154871403379767
-0.46259902083593685,-0.5757227345981086,-0.4371953334754257
-0.4833311804405205,-0.6128329471438774,-0.45830347179550307
-0.5063700849785425,-0.6511686586453773,-0.47477689239244647
-0.5313647103556984,-0.6910406403714292,-0.48699231997469866
-0.5581484627866748,-0.7332109284601995,-0.4952708066314212
-0.5868002152745081,-0.778265882287521,-0.4995307212084441
-0.6175394614613197,-0.8261877132367671,-0.49928625892553935
-0.6506106866983418,-0.87657365498874,-0.49375956003175
-0.6862307928251066,-0.928889291237557,-0.4821285988892883
-0.7244890080689057,-0.9825024517421214,-0.4637263633887351
-0.7652528968611159,-1.0367529343717614,-0.4379424689015702
-0.808202780649127,-1.0909936271361533,-0.404115866797406
-0.8529745403965787,-1.1445197873229702,-0.36174704087794324
-0.8993006039471623,-1.1965830217498874,-0.31080030635098976
-0.946984568676847,-1.246496868022108,-0.2516899675656605
-0.9955931179346883,-1.2936304584640042,-0.1848745899038634
-1.0442379667309383,-1.3371577995331148,-0.11045207269968636
-1.0920778796624744,-1.3757906951391965,-0.028335845100882426
-1.1389353573123202,-1.4080634977807147,0.06121297581748081
-1.1846319179907394,-1.43283942294012,0.1574481505207267
-1.2280569373952623,-1.4488952801970147,0.25927884015009667
-1.2681795439818904,-1.4544514674304234,0.36523600055969696
-1.3048141066305612,-1.4480809455166876,0.47350906088958594
-1.3372109997326653,-1.4293162197289375,0.5821403163667511
-1.363791968259829,-1.3980785018756308,0.6886819857468944
-1.3837973043724492,-1.3551274606450143,0.7901417533768451
-1.396953224697435,-1.3021938476557195,0.8839657110069074
-1.4025160312148084,-1.240329464603195,0.9688727053646911
-1.3997704807063096,-1.1699648792980228,1.0441215564532385
-1.3887823536352264,-1.092052708247059,1.1080228950798994
-1.3700947323348291,-1.008565642996669,1.1584822705549167
-1.3440879369802972,-0.9216656592211415,1.1941504452896272
-1.3112362511369557,-0.833130651776674,1.215153540956407
-1.2721731950178263,-0.7451872031397877,1.2228901426242125
-1.227658203172812,-0.6601831238556877,1.2178143731248108
-1.1783761446794254,-0.5799805862072175,1.1999074539890573
-1.1253315510467075,-0.5060189489432172,1.170347418681305
-1.069750048369155,-0.4391070280822182,1.130991540189664
-1.012447715642806,-0.3792763631210367,1.0835388556038987
-0.9540569329435191,-0.32623347581289,1.029566348723502
-0.8955953659350766,-0.2801382073870649,0.9705411178052776
-0.8384124386032319,-0.2416632049590982,0.9075632132326699
-0.7835631765935734,-0.21107786112561616,0.8413304712766305
-0.7314229320239368,-0.1875789501877933,0.7724862736216142
-0.6818959892020124,-0.16976135830565145,0.7020298852110651
-0.6348853087611273,-0.15661338525159818,0.6312490683233964
-0.5907346258965613,-0.14791495923450862,0.5610143062413795
-0.550136551275513,-0.14363944074064722,0.4912011731344299
-0.5134467178341443,-0.14339472507208756,0.42136349519095384
-0.48047822829105,-0.1468514276296298,0.3521002646082335
-0.4510474000415965,-0.1539355218391563,0.2848337455564541
-0.4252881214452573,-0.16404303798161762,0.22007403293783717
-0.40335828094921344,-0.17613436653695244,0.15712311689356462
-0.38502914079935624,-0.18983999103880275,0.09562529511123477
-0.36978194162179145,-0.20504317360867572,0.03643535913622317
-0.3574339552811812,-0.22055779174027249,-0.019785958857956934
-0.34839667325226314,-0.23572212295564388,-0.07418044142692762
-0.34318132940086504,-0.2529450284214577,-0.1284783813291362
-0.3417730761663814,-0.27533897079181785,-0.18290395259346176
-0.3432368685345273,-0.3028198071893471,-0.23607160794317417
-0.3461257641610773,-0.3327807173607849,-0.28644018184906533
-0.349421896817837,-0.3631276707229785,-0.3336346593701447
-0.35296154057143014,-0.3931080700898296,-0.37762704874929126
-0.35752977589212653,-0.422111098134648,-0.4176928566085642
-0.36479966518133533,-0.4498327841064337,-0.4536943609258702
-0.37608930740171737,-0.4775744222277077,-0.4865997735521261
