x,y,z
-1.1166722356742325,-1.3562625190779871,0.08580954316573383
-1.158137605921823,-1.3761158340595252,0.17368987730911717
-1.1977461815454544,-1.388644363787616,0.266258687236361
-1.234747564567109,-1.3937725837144253,0.36202944602140463
-1.268604200268736,-1.3902860946482865,0.45985525999555105
-1.2984735676981898,-1.376511073532026,0.5582875989841676
-1.3232074858705294,-1.3514503850420392,0.6550608404854601
-1.3416837407690052,-1.315458416750455,0.7475641444977412
-1.3535188436300412,-1.2695877695135378,0.8337211033767337
-1.3590131901134095,-1.214384897953321,0.9119107118201709
-1.3580989388221991,-1.1505348422779542,0.9806175104958397
-1.3499654459998742,-1.0801329939644353,1.0386755282840614
-1.3339957965753886,-1.0057092717651417,1.0851956060736754
-1.310781447169762,-0.9287632452385698,1.1193667423623064
-1.2816523345890984,-0.8502694989515338,1.1409820635624588
-1.2474599012107994,-0.7715557805294856,1.150428895593078
-1.2083532996759514,-0.6943160579189814,1.1479977108541528
-1.1644838098533659,-0.6202054904668548,1.1340140267783858
-1.1165782971228475,-0.5505568253403957,1.109535312431517
-1.0658575853122658,-0.4864864023054478,1.0761930326564768
-1.013641129696581,-0.4289925164266254,1.0353868490252398
-0.9610690557295222,-0.37876821231081154,0.9879573738803074
-0.9089784294194108,-0.3359441327320089,0.9347450473314429
-0.8577801818463874,-0.2999725466273031,0.8771466191471302
-0.8075301065917236,-0.2700654024698532,0.8166289920136277
-0.7583332705771081,-0.2458386582246723,0.7540510956751566
-0.7108847181964854,-0.22732983146296043,0.68987240664364
-0.6664048810320365,-0.21443354010831348,0.6246141502853688
-0.6257913911925386,-0.20659667580987273,0.5589276251103028
-0.5892355550058824,-0.2031425691612703,0.49353483182954777
-0.5564984273602317,-0.20353520978504105,0.4290408350618502
-0.5270221406254808,-0.20718401396319702,0.36570179565624306
-0.5002787852324643,-0.21331273074631518,0.3035304357784616
-0.4762980887418344,-0.2211964708770576,0.24245923573948766
-0.4554970362533449,-0.230571355218229,0.18253496494533472
-0.438082732157708,-0.2419923172582579,0.12412131276661502
-0.42377169741523996,-0.2563505867360057,0.06750989901068971
-0.4121483377934636,-0.27340743639433657,0.01259592989865162
-0.4031602535676596,-0.2918079337263904,-0.04081359355585762
-0.39698027998510393,-0.31100650751857706,-0.0927116553718582
-0.39372317558095304,-0.33192659347634546,-0.14271185933360492
-0.3935417547980695,-0.3555082043020673,-0.19015022046780566
-0.3964002731103917,-0.38151275402679546,-0.23465664872320013
-0.40163730408999454,-0.4090458269468043,-0.27650058979693887
-0.4083991030937121,-0.4377928920967496,-0.31607258262067806
-0.4164343001470601,-0.4681289884596785,-0.35315814751189156
-0.4263643359205657,-0.5000678422205377,-0.387109686146352
-0.43934695025916437,-0.533075297845559,-0.4175974951253917
-0.45617927533626734,-0.5672149057092678,-0.44476909333445547
-0.4766422076809912,-0.6036590931549733,-0.4687012887462736
-0.49978926852585037,-0.6437099094719382,-0.488929271227876
-0.5247084078563828,-0.6876298437302284,-0.5045860202918471
-0.5511072754943551,-0.7345482166252595,-0.5149253258425859
-0.5794795216499289,-0.7832040696635886,-0.5197096297631036
-0.6108061380105244,-0.8327447128701513,-0.519057439440609
-0.6458254643491468,-0.8831466510290362,-0.5130060668360514
-0.6843808633179068,-0.9349813696838958,-0.5012827843141384
-0.7255001980563228,-0.9885965344983312,-0.4833967699378886
-0.7680838074858821,-1.0435543408261339,-0.4588229263537222
-0.8114947193403327,-1.0988544791431043,-0.42707085896858243
-0.8557075218382922,-1.1534951397961453,-0.38760602243601344
-0.9010524287361471,-1.2067173608059456,-0.3398043495550674
-0.9477647694806292,-1.2578788923423871,-0.28315283764817656
-0.9956647510495705,-1.3062701362333935,-0.2175755354263599
-1.0441754584159586,-1.3509538447401028,-0.14339497018388284
-1.092636071782995,-1.3905332565014132,-0.06085528809984257
-1.1405465487976654,-1.4231864708957733,0.02991611916147233
-1.187241275192635,-1.447344359513746,0.1280493667497223
-1.2315630548823824,-1.4623995143041635,0.23160576964520144
-1.272467743222528,-1.468235095346606,0.3387932316022577
-1.3095886332642883,-1.4640437869664469,0.4488444625816552
-1.342549204055396,-1.4483589867035886,0.5608425275660831
-1.3702735271591022,-1.4202527627622148,0.6723146827024553
-1.3913945903946903,-1.3799990217891183,0.7798698633148163
-1.405285082712565,-1.3283117994471307,0.8807542874018597
-1.4121845192268796,-1.2653044735769778,0.9726833526610533
-1.4118242207886853,-1.1918741431576247,1.0530226863702434
-1.4028197644606322,-1.1109476023554488,1.1199169231592956
-1.384525210655689,-1.0254140435151273,1.1726524297198662
-1.3582788589431274,-0.9365307074749738,1.2105285717805536
-1.3254503269044577,-0.8455568279158989,1.233350021370067
-1.286272945672912,-0.7546822337791821,1.2418448633547965
-1.2409130106795596,-0.6662470572406536,1.2366790061351416
-1.1900637058560453,-0.58215144073663,1.2184390486676235
-1.1349185305769498,-0.5037923315661393,1.1884720203621781
-1.076968110700414,-0.43248342071160073,1.1486196383902088
-1.0174957412208165,-0.3695437504751871,1.1003384916096397
-0.9575491415580978,-0.3157527070776263,1.044595026294994
-0.8981952392207452,-0.27083919183729077,0.9828526366810045
-0.8403118555477314,-0.23360395318642113,0.9172753345942739
-0.7842029897679874,-0.20286583099840166,0.8494213236603374
-0.7299145879154536,-0.17827685929944484,0.7798677406050902
-0.6781825710717696,-0.15998233252592936,0.7091484294958748
-0.6302459881536323,-0.14765398040237945,0.6379548055436917
-0.5865582281997667,-0.14022624336805356,0.5668828077982452
-0.5467094060612692,-0.13658884294996404,0.4966506570735248
-0.5101148437045565,-0.13612203234919895,0.42796365673637404
-0.47614934270504616,-0.1384618781460477,0.36100364845581495
-0.4446248805599423,-0.14327028879491985,0.29540933481056436
-0.41637205571740665,-0.1504438795856246,0.23047028138149478
-0.39267866882744973,-0.15980861093377965,0.16559840827782527
-0.37390315095279636,-0.17127825934716828,0.1010490813477258
-0.35891837892200945,-0.18539595229676106,0.037820329190416384
-0.34636277090559453,-0.20182228086391454,-0.022849088955759725
-0.33590067720723893,-0.21906359858148114,-0.08015337895500634
-0.3280000649973481,-0.2369553674953255,-0.13439107090545
-0.32347118559975196,-0.25699035359478595,-0.18620290894595076
-0.32307624893946957,-0.2799256439086756,-0.2356318516952465
-0.3266538902956459,-0.30502225955693896,-0.28248563457117837
-0.33273001409283853,-0.33153930805548143,-0.3270549433262388
-0.3398629206956315,-0.35968943074447807,-0.36966925498456765
-0.3478248321037727,-0.3899127774648874,-0.409930080148567
-0.35739064194458814,-0.4216404548951272,-0.4471406461370502
-0.36967378324502453,-0.453755806077415,-0.48120314650240814
-0.38526166453537347,-0.48631552559694013,-0.5127332034496366
-0.4037916218063707,-0.5209491893041991,-0.542293123016262
-0.42446165907397615,-0.55942854097104,-0.5695842060400157
-0.44678766956077787,-0.6023187023706941,-0.593418147491852
-0.47082853017973714,-0.6489477784498999,-0.612430979882288
-0.49698751157785154,-0.6980209744852556,-0.625818835447299
-0.5258109288490718,-0.7482021885368212,-0.6333356578017694
-0.5577193387489927,-0.798805466401345,-0.6348475176582455
-0.5927389140834387,-0.8502283943006744,-0.6300711246315335
-0.6305811299250647,-0.9034358602891932,-0.6185429953431917
-0.671025482886642,-0.9590817081485926,-0.5996724028294567
-0.7140869538516315,-1.0170825909675965,-0.5729530932929019
-0.7598421697911208,-1.0767384209119033,-0.5382136419461178
-0.8081508533432263,-1.1371144381424818,-0.49557184770308743
-0.8585226234355847,-1.1973874719044912,-0.4449868402479468
-0.9103314902283641,-1.2568046056744666,-0.3857596364281602
-0.9632663835011445,-1.3143398723443092,-0.31664536153718026
-1.0173770554285795,-1.3687741569035021,-0.23682119245913258
-1.0724021563612927,-1.4189918584666372,-0.14652531542620134
-1.1275106088205753,-1.4634269024624802,-0.0462875673414716
-1.181882620207939,-1.4996371270616582,0.06342526405608892
-1.2342883600788097,-1.5251960553776893,0.18087014853230976
-1.2829726469475018,-1.5389704532918835,0.3031898898743536
-1.3276007775059486,-1.5404806618976974,0.42866321129196655
-1.3687864714579965,-1.5280586568951962,0.555914399373085
-1.4051084866107002,-1.499923403908708,0.6816689201308813
-1.4336214130043534,-1.456085522533505,0.8022922853470381
-1.4526351486486837,-1.3979116381306498,0.9156593100180438
-1.4628045118050883,-1.32656531820896,1.0201649041024106
-1.464573393283423,-1.2436059966234454,1.1124350832794194
-1.4561299319387446,-1.1520590734956584,1.1893627775314783
-1.436495170698162,-1.0547927309551641,1.2500795458732885
-1.4077738044191173,-0.9531448007759773,1.2937071248689251
-1.3714857416259785,-0.8489981352257113,1.3197279540772806
-1.327400810899767,-0.7456440376108457,1.3291537886756446
-1.2761245847067746,-0.6460912222893938,1.3230368991903545
-1.218899401886968,-0.5523239314001473,1.3022519188122421
-1.1571177007219753,-0.4655525158642809,1.2683941953940145
-1.0925063548519856,-0.38696971080516457,1.223251369975347
-1.0263912394257133,-0.3180081148303289,1.1682799767806369
-0.9595066815702005,-0.25947276944588876,1.1049930722083454
-0.8929490945326024,-0.2108093167374801,1.035819984233931
-0.8282474694730091,-0.17045183611906312,0.9633741651783434
-0.766102750641483,-0.13708526349382005,0.8888109120819624
-0.7065428354235459,-0.11052121029551458,0.8124837971495468
